Trust in government by party and ideology
"			% who say they trust the government to do what is right just about always/most of the time"

Date,.,Liberal Dem/Lean Dem,Cons-Moderate Dem/Lean Dem,Moderate-Lib Rep/Lean Rep,Conservative Rep/Lean Rep
"		6/11/2023,PEW,23,27,14,4"
"		5/1/2022,PEW,26,32,13,7"
"		4/11/2021,PEW,31,40,16,5"
"		8/2/2020,PEW,8,16,31,27"
"		4/12/2020,PEW,12,22,37,37"
"		3/25/2019,PEW,13,15,21,20"
"		12/04/2017,PEW,15,16,26,20"
"		4/11/2017,PEW,15,16,32,26"
"		10/04/2015,PEW,28,25,14,9"
"		7/20/2014,CNN,19,16,15,7"
"		2/26/2014,PEW,31,33,21,13"
"		11/15/2013,CBS/NYT,38,25,13,5"
"		10/13/2013,PEW,25,27,16,7"
"		5/31/2013,CBS/NYT,30,30,16,4"
"		2/06/2013,CBS/NYT,35,34,9,7"
"		1/13/2013,PEW,34,37,17,14"
"		10/31/2012,NES,26,32,18,15"
"		10/19/2011,CBS/NYT,9,13,11,7"
"		10/04/2011,PEW,30,25,14,9"
"		9/23/2011,CNN,30,16,11,11"
"		8/21/2011,PEW,26,24,18,10"
"		3/01/2011,PEW,36,33,32,18"
"		10/21/2010,CBS/NYT,37,35,12,4"
"		10/01/2010,CBS/NYT,34,22,10,16"
"		9/06/2010,PEW,39,31,19,10"
"		9/01/2010,CNN,36,30,28,11"
"		4/05/2010,CBS/NYT,37,21,23,7"
"		3/21/2010,PEW,36,31,19,11"
"		2/12/2010,CNN,36,34,25,9"
"		2/05/2010,CBS/NYT,31,32,13,7"
"		1/10/2010,GALLUP,29,22,20,12"
"		12/20/2009,CNN,31,23,18,13"
"		8/31/2009,CBS/NYT,38,30,14,10"
"		6/12/2009,CBS/NYT,42,34,13,8"
"		12/21/2008,CNN,36,28,28,17"
"		10/15/2008,NES,37,34,48,28"
"		10/13/2008,CBS/NYT,16,12,26,12"
"		7/09/2007,CBS/NYT,14,21,38,28"
"		1/09/2007,PEW,15,25,41,45"
"		10/08/2006,CBS/NYT,14,22,50,51"
"		9/15/2006,CBS/NYT,11,23,44,44"
"		2/05/2006,PEW,13,23,52,54"
"		1/20/2006,CBS/NYT,27,21,52,50"
"		1/06/2006,GALLUP,10,26,33,56"
"		12/02/2005,CBS/NYT,16,21,60,47"
"		9/11/2005,PEW,13,22,39,54"
"		9/09/2005,CBS/NYT,12,26,46,41"
"		6/19/2005,GALLUP,25,24,31,41"
"		10/15/2004,NES,24,39,63,59"
"		3/21/2004,PEW,23,24,53,56"
"		10/26/2003,GALLUP,23,39,31,52"
"		7/27/2003,CBS/NYT,21,27,55,47"
"		10/15/2002,NES,53,56,66,61"
"		9/04/2002,GALLUP,31,40,50,60"
"		9/02/2002,CBS/NYT,32,32,55,53"
"		7/13/2002,CBS/NYT,37,33,50,42"
"		6/17/2002,GALLUP,30,36,59,55"
"		1/24/2002,CBS/NYT,38,39,58,54"
"		12/07/2001,CBS/NYT,34,43,61,58"
"		10/06/2001,GALLUP,46,55,66,69"
"		1/17/2001,CBS/NYT,33,24,41,33"
"		10/15/2000,NES,58,52,54,44"
"		7/09/2000,GALLUP,41,42,50,35"
"		4/02/2000,ABC/POST,38,39,28,20"
"		10/03/1999,CBS/NYT,26,33,29,24"
"		9/14/1999,CBS/NYT,38,45,42,27"
"		2/12/1999,ABC/POST,40,43,26,16"
"		2/04/1999,GALLUP,36,40,33,27"
"		1/10/1999,CBS/NYT,39,44,40,28"
"		1/03/1999,CBS/NYT,34,39,31,26"
"		12/01/1998,NES,45,46,39,34"
"		11/01/1998,CBS/NYT,28,28,23,22"
"		10/26/1998,CBS/NYT,30,28,22,26"
"		8/10/1998,ABC/POST,38,35,24,27"
"		2/01/1998,GALLUP,55,52,33,23"
"		1/25/1998,CBS/NYT,24,31,24,19"
"		6/01/1997,GALLUP,41,38,31,21"
"		1/14/1997,CBS/NYT,30,28,25,14"
"		11/02/1996,CBS/NYT,30,32,21,19"
"		10/15/1996,NES,38,39,30,25"
"		5/12/1996,GALLUP,25,35,25,18"
"		5/06/1996,ABC/POST,41,41,39,33"
"		11/19/1995,ABC/POST,26,27,26,28"
"		8/07/1995,GALLUP,16,27,17,25"
"		8/05/1995,CBS/NYT,21,19,19,23"
"		3/19/1995,ABC/POST,24,28,22,17"
"		2/22/1995,CBS/NYT,20,18,22,17"
"		12/01/1994,NES,22,28,21,16"
"		10/29/1994,CBS/NYT,26,27,23,15"
"		10/23/1994,ABC/POST,32,25,22,11"
"		6/06/1994,GALLUP,16,26,15,9"
"		1/30/1994,GALLUP,20,27,18,12"
"		1/20/1994,ABC/POST,26,31,25,10"
"		1/17/1993,ABC/POST,30,33,28,22"
"		1/14/1993,CBS/NYT,17,30,20,20"
"		10/23/1992,CBS/NYT,20,15,30,32"
"		10/15/1992,NES,26,33,37,31"
"		6/08/1992,GALLUP,13,19,31,30"
"		10/20/1991,ABC/POST,25,33,42,39"
"		3/06/1991,CBS/NYT,46,39,57,56"
"		3/01/1991,ABC/POST,39,41,54,50"
"		12/01/1990,NES,27,26,31,33"
"		9/06/1990,ABC/POST,34,39,49,45"
"		1/16/1990,ABC/POST,28,34,50,39"
"		6/29/1989,CBS/NYT,27,27,38,55"
"		1/15/1989,CBS/NYT,33,38,56,54"
"		11/10/1988,CBS/NYT,24,40,65,52"
"		10/15/1988,NES,34,35,52,51"
"		1/23/1988,ABC/POST,30,31,54,49"
"		10/18/1987,CBS/NYT,34,37,47,49"
"		6/01/1987,ABC/POST,34,41,60,55"
"		1/21/1987,CBS/NYT,34,37,54,48"
"		1/19/1987,ABC/POST,37,38,52,51"
"		12/01/1986,NES,25,36,53,53"
"		9/09/1986,ABC/POST,25,34,55,44"
"		1/19/1986,CBS/NYT,34,38,51,52"
"		11/06/1985,CBS/NYT,42,43,60,56"
"		7/29/1985,ABC/POST,26,33,53,41"
"		3/21/1985,ABC/POST,27,29,52,48"
"		2/22/1985,ABC/POST,28,33,62,63"
"		10/15/1984,NES,34,47,52,46"
"		12/01/1982,NES,29,35,48,38"
"		11/07/1980,CBS/NYT,38,42,44,41"
"		10/15/1980,NES,34,28,28,18"
"		3/12/1980,CBS/NYT,31,29,25,18"
"		11/03/1979,CBS/NYT,34,31,28,26"
"		12/01/1978,NES,38,33,24,24"
"		10/23/1977,CBS/NYT,41,41,32,16"
"		4/25/1977,CBS/NYT,41,38,33,36"
"		10/15/1976,NES,27,34,49,41"
"		9/05/1976,CBS/NYT,33,42,45,45"
"		6/15/1976,CBS/NYT,35,35,39,34"
"		12/01/1974,NES,36,40,39,40"
"		10/15/1972,NES,44,53,62,66"
"		"
"		"
"		"
"		PEW RESEARCH CENTER"
