"","X","Median_1999","Year","Median_2014","Year.1","change","pct_change","category","address","lat","lon"
"100","Knoxville, TN",62.806,"1.999",57.206,2014,-5.59999999999999,-8.91634557207909,"other","Knoxville, TN",35.9603948,-83.9210261
"101","Lafayette, LA",60.95,"1.999",64.605,2014,3.655,5.99671862182117,"riser","Lafayette, LA",30.2262187,-92.0178202
"102","Lake Havasu City-Kingman, AZ",52.686,"1.999",46.986,2014,-5.7,-10.8188133469992,"other","Lake Havasu City",34.4775296,-114.3379972
"103","Lakeland-Winter Haven, FL",60.402,"1.999",53.419,2014,-6.983,-11.5608754676998,"other","Lakeland",28.0394654,-81.9498042
"104","Lancaster, PA",72.173,"1.999",66.843,2014,-5.33,-7.38503318415474,"other","Lancaster, PA",40.0379958,-76.3056707
"105","Lansing-East Lansing, MI",75.117,"1.999",64.756,2014,-10.361,-13.7931493536749,"other","Lansing",42.7338254,-84.5546295
"106","Laredo, TX",41.215,"1.999",40.777,2014,-0.438000000000002,-1.06271988353755,"other","Laredo, TX",27.5075005,-99.5069922
"107","Las Cruces, NM",47.661,"1.999",46.863,2014,-0.798000000000002,-1.67432491974571,"other","Las Cruces, NM",32.3140354,-106.779807
"108","Las Vegas-Henderson-Paradise, NV",70.185,"1.999",59.714,2014,-10.471,-14.9191422668661,"other","Las Vegas",36.1674263,-115.1484131
"109","Lebanon, PA",69.68,"1.999",73.925,2014,4.24499999999999,6.09213547646382,"riser","Lebanon, PA",40.375713,-76.4626118
"110","Lewiston-Auburn, ME",61.821,"1.999",64.141,2014,2.32000000000001,3.75277009430454,"other","Lewiston",44.0990717,-70.2177099
"111","Lincoln, NE",75.636,"1.999",69.345,2014,-6.291,-8.31746787244169,"other","Lincoln, NE",40.8088861,-96.7077751
"112","Little Rock-North Little Rock-Conway, AR",69.162,"1.999",65.181,2014,-3.98100000000001,-5.75605101067061,"other","Little Rock",34.7465071,-92.2896267
"113","Los Angeles-Long Beach-Anaheim, CA",60.383,"1.999",55.92,2014,-4.463,-7.39115313912856,"other","Los Angeles",34.0536909,-118.242766
"114","Louisville/Jefferson County, KY-IN",73.14,"1.999",65.717,2014,-7.423,-10.1490292589554,"other","Louisville/Jefferson County, KY",38.2092412,-85.7038006
"115","Lubbock, TX",56.76,"1.999",57.302,2014,0.542000000000002,0.954897815362934,"other","Lubbock, TX",33.5855677,-101.8470215
"116","Lynchburg, VA",66.588,"1.999",63.636,2014,-2.95199999999999,-4.43323121283113,"other","Lynchburg, VA",37.4137536,-79.1422464
"117","Madera, CA",51.623,"1.999",48.332,2014,-3.291,-6.37506537783546,"other","Madera, CA",37.1716264,-119.7737991
"118","Manchester-Nashua, NH",73.656,"1.999",75.099,2014,1.443,1.95910720104268,"other","Manchester",53.4794892,-2.2451148
"119","Mansfield, OH",68.194,"1.999",55.544,2014,-12.65,-18.5500190632607,"other","Mansfield, OH",40.75839,-82.5154471
"120","McAllen-Edinburg-Mission, TX",40.015,"1.999",39.752,2014,-0.262999999999998,-0.657253529926273,"other","McAllen",26.204114,-98.2300605
"121","Medford, OR",60.86,"1.999",52.151,2014,-8.709,-14.3098915543871,"other","Medford, OR",42.3264181,-122.8718605
"122","Memphis, TN-MS-AR",68.564,"1.999",59.841,2014,-8.72299999999999,-12.7224199288256,"other","Memphis, TN",35.1460249,-90.0517638
"123","Merced, CA",52.031,"1.999",44.657,2014,-7.374,-14.1723203474852,"other","Merced, CA",37.1641544,-120.7678602
"124","Miami-Fort Lauderdale-West Palm Beach, FL",60.761,"1.999",52.686,2014,-8.075,-13.2897746910025,"other","Miami",25.7741566,-80.1935973
"125","Michigan City-La Porte, IN",77.371,"1.999",59.796,2014,-17.575,-22.7152292202505,"faller","Michigan City",41.7075394,-86.8950297
"126","Midland, TX",66.433,"1.999",90.743,2014,24.31,36.5932593741062,"riser","Midland, TX",31.83688,-102.0103767
"127","Milwaukee-Waukesha-West Allis, WI",79.736,"1.999",68.056,2014,-11.68,-14.6483395204174,"other","Milwaukee",43.0386475,-87.9090751
"128","Minneapolis-St. Paul-Bloomington, MN-WI",84.164,"1.999",78.676,2014,-5.488,-6.52060263295471,"other","Minneapolis",44.9772995,-93.2654692
"129","Mobile, AL",60.928,"1.999",59.368,2014,-1.56,-2.56039915966386,"other","Mobile, AL",30.6913462,-88.0437509
"130","Modesto, CA",60.461,"1.999",54.269,2014,-6.192,-10.2413125816642,"other","Modesto, CA",37.6393419,-120.9968892
"131","Monroe, LA",59.838,"1.999",50.422,2014,-9.416,-15.7358200474615,"other","Monroe, LA",32.5025471,-92.116219
"132","Monroe, MI",80.17,"1.999",67.868,2014,-12.302,-15.3448921042784,"other","Monroe, MI",41.9153358,-83.5135665
"133","Montgomery, AL",67.757,"1.999",60.497,2014,-7.26,-10.7147600985876,"other","Montgomery, AL",32.3777111,-86.3090775
"134","Morgantown, WV",59.013,"1.999",61.224,2014,2.211,3.7466320980123,"other","Morgantown, WV",39.6296809,-79.9559437
"135","Muncie, IN",61.99,"1.999",55.005,2014,-6.985,-11.2679464429747,"other","Muncie, IN",40.1936892,-85.3865271
"136","Muskegon, MI",66.672,"1.999",56.243,2014,-10.429,-15.6422486201104,"other","Muskegon, MI",43.2341813,-86.2483921
"137","Napa, CA",69.126,"1.999",64.461,2014,-4.66500000000001,-6.74854613314817,"other","Napa, CA",38.4898675,-122.3218414
"138","Naples-Immokalee-Marco Island, FL",78.542,"1.999",69.911,2014,-8.631,-10.9890249802653,"other","Naples",40.8358846,14.2487679
"139","Nashville-Davidson--Murfreesboro--Franklin, TN",75.471,"1.999",66.093,2014,-9.378,-12.4259649401757,"other","Nashville",36.1622767,-86.7742984
"140","New Haven-Milford, CT",68.772,"1.999",64.32,2014,-4.45200000000001,-6.47356482289305,"other","New Haven",41.3082138,-72.9250518
"141","New Orleans-Metairie, LA",56.802,"1.999",61.743,2014,4.941,8.69863737192353,"riser","New Orleans",29.9559145,-90.0730259
"142","New York-Newark-Jersey City, NY-NJ-PA",65.916,"1.999",63.19,2014,-2.726,-4.13556647854845,"other","New York",40.7127281,-74.0060152
"143","Niles-Benton Harbor, MI",68.809,"1.999",57.993,2014,-10.816,-15.7188739845078,"other","Niles",42.0289319,-87.8122348
"144","North Port-Sarasota-Bradenton, FL",68.415,"1.999",64.777,2014,-3.638,-5.31754732149383,"other","North Port",27.044224,-82.2359254
"145","Norwich-New London, CT",78.237,"1.999",80.192,2014,1.955,2.49881769495251,"other","Norwich",52.6285576,1.2923954
"146","Ocala, FL",56.531,"1.999",54.082,2014,-2.449,-4.33213634996727,"other","Ocala, FL",29.1871986,-82.1400923
"147","Ocean City, NJ",60.57,"1.999",64.401,2014,3.831,6.32491332342743,"riser","Ocean City, NJ",39.2776156,-74.5746001
"148","Odessa, TX",53.824,"1.999",65.498,2014,11.674,21.689209274673,"riser","Odessa, TX",31.8457149,-102.367687
"149","Ogden-Clearfield, UT",75.205,"1.999",70.312,2014,-4.893,-6.50621634199854,"other","Ogden",41.2230048,-111.9738429
"150","Oklahoma City, OK",65.212,"1.999",66.202,2014,0.989999999999995,1.51812549837452,"other","Oklahoma City, OK",35.4729886,-97.5170536
"151","Olympia-Tumwater, WA",70.584,"1.999",70.203,2014,-0.381,-0.539782386943217,"other","Olympia",37.6382503,21.630566
"152","Omaha-Council Bluffs, NE-IA",74.227,"1.999",72.731,2014,-1.49600000000001,-2.01543912592454,"other","Omaha",41.2587459,-95.9383758
"153","Orlando-Kissimmee-Sanford, FL",67.149,"1.999",57.297,2014,-9.852,-14.671849171246,"other","Orlando",28.5421218,-81.379045
"154","Owensboro, KY",68.626,"1.999",57.594,2014,-11.032,-16.0755398828432,"other","Owensboro, KY",37.7742152,-87.1133304
"155","Oxnard-Thousand Oaks-Ventura, CA",78.29,"1.999",70.278,2014,-8.012,-10.2337463277558,"other","Oxnard",34.1976308,-119.180381
"156","Palm Bay-Melbourne-Titusville, FL",67.54,"1.999",62.106,2014,-5.434,-8.0456026058632,"other","Palm Bay",27.9946969,-80.6366144
"157","Pensacola-Ferry Pass-Brent, FL",63.798,"1.999",64.356,2014,0.557999999999993,0.874635568513108,"other","Pensacola",30.421309,-87.2169149
"158","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",71.1,"1.999",67.655,2014,-3.44499999999999,-4.84528832630098,"other","Philadelphia",39.9527237,-75.1635262
"159","Phoenix-Mesa-Scottsdale, AZ",68.973,"1.999",63.722,2014,-5.251,-7.6131239760486,"other","Phoenix",33.4484367,-112.074141
"160","Pittsburgh, PA",67.254,"1.999",69.002,2014,1.74799999999999,2.59910191215391,"other","Pittsburgh, PA",40.4406968,-80.0025666
"161","Portland-South Portland, ME",69.908,"1.999",68.231,2014,-1.67700000000001,-2.39886708245123,"other","Portland",45.5202471,-122.674194
"162","Portland-Vancouver-Hillsboro, OR-WA",75.381,"1.999",68.8,2014,-6.581,-8.73031665804381,"other","Portland",45.5202471,-122.674194
"163","Port St. Lucie, FL",63.892,"1.999",59.703,2014,-4.189,-6.55637638514994,"other","Port St. Lucie, FL",27.2939333,-80.3503283
"164","Prescott, AZ",58.665,"1.999",53.81,2014,-4.855,-8.27580328986618,"other","Prescott, AZ",34.539984,-112.468812
"165","Providence-Warwick, RI-MA",67.501,"1.999",67.875,2014,0.373999999999995,0.554065865690872,"other","Providence",41.8239891,-71.4128343
"166","Provo-Orem, UT",63.46,"1.999",60.419,2014,-3.041,-4.79199495745352,"other","Provo",40.2337289,-111.6587085
"167","Pueblo, CO",56.783,"1.999",48.815,2014,-7.968,-14.0323688427875,"other","Pueblo, CO",38.263995,-104.6141867
"168","Punta Gorda, FL",62.392,"1.999",56.716,2014,-5.676,-9.09732016925247,"other","Punta Gorda, FL",26.9351529,-82.0512058
"169","Racine, WI",82.181,"1.999",72.306,2014,-9.875,-12.0161594529149,"other","Racine, WI",42.7313756,-87.7834769
"170","Raleigh, NC",85.784,"1.999",74.283,2014,-11.501,-13.4069290310547,"Raleigh","Raleigh, NC",35.7803977,-78.6390989
"171","Reading, PA",72.73,"1.999",66.291,2014,-6.43900000000001,-8.85329300151245,"other","Reading, PA",40.335345,-75.9279495
"172","Redding, CA",56.153,"1.999",55.095,2014,-1.058,-1.88413798016134,"other","Redding, CA",40.5863563,-122.391675
"173","Reno, NV",74.113,"1.999",61.607,2014,-12.506,-16.8742325907735,"other","Reno, NV",39.5261788,-119.812658
"174","Richmond, VA",78.084,"1.999",75.369,2014,-2.715,-3.47702474258491,"other","Richmond, VA",37.5385087,-77.43428
"175","Riverside-San Bernardino-Ontario, CA",58.467,"1.999",53.727,2014,-4.74,-8.10713735953615,"other","Riverside",33.9824949,-117.374238
"176","Rochester, NY",72.711,"1.999",63.22,2014,-9.491,-13.0530456189572,"other","Rochester, NY",43.157285,-77.615214
"177","Rockford, IL",78.139,"1.999",63.703,2014,-14.436,-18.4747693213376,"other","Rockford, IL",42.2713945,-89.093966
"178","Rocky Mount, NC",64.752,"1.999",48.832,2014,-15.92,-24.5861131702496,"faller","Rocky Mount, NC",35.9423833,-77.7956949
"179","Sacramento--Roseville--Arden-Arcade, CA",72.65,"1.999",66.136,2014,-6.51400000000001,-8.96627666896078,"other","Sacramento",38.5810606,-121.493895
"180","Saginaw, MI",69.03,"1.999",60.486,2014,-8.544,-12.3772272924815,"other","Saginaw, MI",43.4200387,-83.9490365
"181","St. Louis, MO-IL",82.228,"1.999",72.911,2014,-9.31699999999999,-11.3306902758184,"other","St. Louis, MO",38.6280278,-90.1910154
"182","Salinas, CA",68.542,"1.999",58.116,2014,-10.426,-15.2111114353243,"other","Salinas, CA",36.6744117,-121.655037
"183","Salisbury, MD-DE",70.545,"1.999",71.875,2014,1.33,1.88532142604011,"other","Salisbury, MD",38.366027,-75.6009964
"184","Salt Lake City, UT",74.002,"1.999",66.199,2014,-7.803,-10.5443096132537,"other","Salt Lake City, UT",40.7596198,-111.886797
"185","San Angelo, TX",57.657,"1.999",56.175,2014,-1.482,-2.57037306831781,"other","San Angelo, TX",31.4649685,-100.4405094
"186","San Antonio-New Braunfels, TX",63.765,"1.999",62.699,2014,-1.066,-1.6717635066259,"other","San Antonio",29.4246002,-98.4951405
"187","San Diego-Carlsbad, CA",64.508,"1.999",63.841,2014,-0.666999999999994,-1.03398028151546,"other","San Diego",32.7174202,-117.162772
"188","San Francisco-Oakland-Hayward, CA",79.818,"1.999",78.969,2014,-0.849000000000004,-1.06366984890627,"other","San Francisco",37.7932754,-122.3963589
"189","San Jose-Sunnyvale-Santa Clara, CA",91.698,"1.999",86.833,2014,-4.865,-5.30545922484677,"other","San Jose",37.3361663,-121.890591
"190","San Luis Obispo-Paso Robles-Arroyo Grande, CA",65.856,"1.999",66.898,2014,1.042,1.58224003887269,"other","San Luis Obispo",35.3540209,-120.375716
"191","Santa Cruz-Watsonville, CA",68.844,"1.999",61.233,2014,-7.611,-11.0554296670734,"other","Santa Cruz",28.467178,-16.2507843
"192","Santa Fe, NM",77.382,"1.999",67.84,2014,-9.542,-12.3310330567832,"other","Santa Fe, NM",35.6876096,-105.938456
"193","Santa Maria-Santa Barbara, CA",69.041,"1.999",61.576,2014,-7.465,-10.812415810895,"other","Santa Maria",-29.6860512,-53.8069214
"194","Santa Rosa, CA",70.869,"1.999",66.56,2014,-4.309,-6.08023254173192,"other","Santa Rosa, CA",38.4404925,-122.7141049
"195","Scranton--Wilkes-Barre--Hazleton, PA",61.493,"1.999",58.803,2014,-2.69,-4.3744816483177,"other","Scranton",41.4086874,-75.6621294
"196","Seattle-Tacoma-Bellevue, WA",78.355,"1.999",77.627,2014,-0.728000000000009,-0.92910471571694,"other","Seattle",47.6038321,-122.330062
"197","Sheboygan, WI",78.622,"1.999",63.319,2014,-15.303,-19.4640177049681,"other","Sheboygan, WI",43.7128967,-87.9370433
"198","Shreveport-Bossier City, LA",62.832,"1.999",55.441,2014,-7.391,-11.7631143366437,"other","Shreveport",32.5135356,-93.7477839
"199","Spartanburg, SC",69.216,"1.999",58.739,2014,-10.477,-15.1366736014794,"other","Spartanburg, SC",34.9498007,-81.9320157
"200","Spokane-Spokane Valley, WA",64.194,"1.999",57.916,2014,-6.27800000000001,-9.77973019285292,"other","Spokane",47.6571934,-117.42351
"201","Springfield, IL",76.784,"1.999",73.325,2014,-3.459,-4.50484475932486,"other","Springfield, IL",39.7990175,-89.6439575
"202","Springfield, MA",68.095,"1.999",62.291,2014,-5.804,-8.52338644540716,"other","Springfield, MA",42.1018764,-72.5886727
"203","Springfield, MO",63.717,"1.999",56.146,2014,-7.571,-11.882229232387,"other","Springfield, MO",37.2081729,-93.2922715
"204","Springfield, OH",73.895,"1.999",53.957,2014,-19.938,-26.9815278435618,"faller","Springfield, OH",39.9234046,-83.810138
"205","State College, PA",58.927,"1.999",57.579,2014,-1.348,-2.28757615354591,"other","State College, PA",40.7944504,-77.8616386
"206","Stockton-Lodi, CA",61.853,"1.999",54.038,2014,-7.815,-12.6347954020015,"other","Stockton",37.9577016,-121.290779
"207","Syracuse, NY",67.12,"1.999",65.933,2014,-1.187,-1.76847437425506,"other","Syracuse, NY",43.0481221,-76.1474244
"208","Tampa-St. Petersburg-Clearwater, FL",64.523,"1.999",57.151,2014,-7.37199999999999,-11.4253831966895,"other","Tampa",27.9449854,-82.4583107
"209","Toledo, OH",71.68,"1.999",61.488,2014,-10.192,-14.21875,"other","Toledo, OH",41.6529143,-83.5378173
"210","Trenton, NJ",80.15,"1.999",76.7,2014,-3.45,-4.30442919525889,"other","Trenton, NJ",40.2203074,-74.7659
"211","Tucson, AZ",62.937,"1.999",56.964,2014,-5.973,-9.49044282377616,"other","Tucson, AZ",32.2228765,-110.974847
"212","Tyler, TX",64.739,"1.999",53.284,2014,-11.455,-17.6941256429664,"other","Tyler, TX",32.3512601,-95.3010624
"213","Urban Honolulu, HI",64.576,"1.999",66.939,2014,2.363,3.65925421209118,"other","Urban Honolulu, HI",21.3936552,-157.975819
"214","Utica-Rome, NY",61.964,"1.999",60.775,2014,-1.189,-1.91885610999935,"other","Utica",43.1009031,-75.2326641
"215","Vallejo-Fairfield, CA",69.653,"1.999",64.348,2014,-5.30500000000001,-7.6163266478113,"other","Vallejo",38.1040864,-122.2566367
"216","Virginia Beach-Norfolk-Newport News, VA-NC",68.434,"1.999",70.124,2014,1.69,2.46953268842972,"other","Virginia Beach",36.8496579,-75.9760751
"217","Visalia-Porterville, CA",50.74,"1.999",43.933,2014,-6.807,-13.4154513204572,"other","Visalia",36.3302284,-119.292058
"218","Waco, TX",59.912,"1.999",56.975,2014,-2.937,-4.90218987848845,"other","Waco, TX",31.5491899,-97.1474628
